                                   Unstratified MN intervals (Newcombe 1998 examples)                                   


        ZSTAT         PVALL         PVALR  ROW  DISTRIB  CONTRAST  SKEWCORR   BCF  CONFLEV  E1  N1  E0  N0            P1            P0           EST        L_BOUND        U_BOUND          CHI2   PVAL_2SIDED  TEST_DELTA         Z_DIFF        PVAL_L        PVAL_R
-------------  ------------  ------------  ---  -------  --------  --------  ----  -------  --  --  --  --  ------------  ------------  ------------  -------------  -------------  ------------  ------------  ----------  -------------  ------------  ------------
 2.6413232723  0.9958708152  0.0041291848    1  bin      RD        FALSE     TRUE     0.95  56  70  48  80           0.8           0.6           0.2   0.0528297131   0.3381729401  6.9765886288  0.0082582879           0   2.6413232723  0.9958708152  0.0041291848
  2.669269563  0.9961991342  0.0038008658    2  bin      RD        FALSE     TRUE     0.95   9  10   3  10           0.9           0.3           0.6    0.170025016   0.8406495441         7.125  0.0076016415           0    2.669269563  0.9961991342  0.0038008658
 2.0816659995  0.9813135702  0.0186864298    3  bin      RD        FALSE     TRUE     0.95   6   7   2   7  0.8571428571  0.2857142857  0.5714285714   0.0341755446     0.85340526  4.3333333333  0.0373729883           0   2.0816659995  0.9813135702  0.0186864298
 1.6488632448  0.9504121878  0.0495878122    4  bin      RD        FALSE     TRUE     0.95   5  56   0  29  0.0892857143             0  0.0892857143  -0.0325965619   0.1933309768       2.71875  0.0991756546           0   1.6488632448  0.9504121878  0.0495878122
            0  0.5000000005  0.4999999995    5  bin      RD        FALSE     TRUE     0.95   0  10   0  20             0             0             0  -0.1657602278   0.2843813399             0             1           0              0  0.5000000005  0.4999999995
            0  0.5000000005  0.4999999995    6  bin      RD        FALSE     TRUE     0.95  10  10  10  10             1             1             0  -0.2879339416   0.2879339416             0             1           0              0  0.5000000005  0.4999999995
 5.3851648071  0.9999999637  0.0000000363    7  bin      RD        FALSE     TRUE     0.95  10  10   0  20             1             0             1   0.7156186601              1            29  0.0000000724           0   5.3851648071  0.9999999637  0.0000000363
-4.3588989435   0.000006541   0.999993459    8  bin      RD        FALSE     TRUE     0.95   0  10  10  10             0             1            -1             -1  -0.6636415515            19  0.0000130718           0  -4.3588989435   0.000006541   0.999993459

                                              Unstratified SCAS intervals                                               


        ZSTAT         PVALL         PVALR  ROW  DISTRIB  CONTRAST  SKEWCORR   BCF  CONFLEV  E1  N1  E0  N0            P1            P0           EST        L_BOUND        U_BOUND           CHI2   PVAL_2SIDED  TEST_DELTA         Z_DIFF        PVAL_L        PVAL_R
-------------  ------------  ------------  ---  -------  --------  --------  ----  -------  --  --  --  --  ------------  ------------  ------------  -------------  -------------  -------------  ------------  ----------  -------------  ------------  ------------
 2.6504186518  0.9959803535  0.0040196465    1  bin      RD        TRUE      TRUE     0.95  56  70  48  80           0.8           0.6  0.1996217501   0.0533879903   0.3397545859     7.02471903  0.0080392085           0   2.6504186518  0.9959803535  0.0040196465
  2.669269563  0.9961991342  0.0038008658    2  bin      RD        TRUE      TRUE     0.95   9  10   3  10           0.9           0.3  0.5919004194   0.1778121832   0.8625035383          7.125  0.0076016415           0    2.669269563  0.9961991342  0.0038008658
 2.0816659995  0.9813135702  0.0186864298    3  bin      RD        TRUE      TRUE     0.95   6   7   2   7  0.8571428571  0.2857142857  0.5598409397   0.0364338415   0.8815816907   4.3333333333  0.0373729883           0   2.0816659995  0.9813135702  0.0186864298
 1.7392130656  0.9590013933  0.0409986067    4  bin      RD        TRUE      TRUE     0.95   5  56   0  29  0.0892857143             0  0.0916875522  -0.0186175011   0.1867179448   3.0248620876  0.0819972921           0   1.7392130656  0.9590013933  0.0409986067
            0  0.5000000005  0.4999999995    5  bin      RD        TRUE      TRUE     0.95   0  10   0  20             0             0             0  -0.1362817748   0.2501424873              0             1           0              0  0.5000000005  0.4999999995
            0  0.5000000005  0.4999999995    6  bin      RD        TRUE      TRUE     0.95  10  10  10  10             1             1             0  -0.2552126404   0.2552126404              0             1           0              0  0.5000000005  0.4999999995
 5.0332909069  0.9999997585  0.0000002415    7  bin      RD        TRUE      TRUE     0.95  10  10   0  20             1             0             1   0.7498575127              1  25.3340173538  0.0000004821           0   5.0332909069  0.9999997585  0.0000002415
-4.3588989435   0.000006541   0.999993459    8  bin      RD        TRUE      TRUE     0.95   0  10  10  10             0             1            -1             -1  -0.7207163035             19  0.0000130718           0  -4.3588989435   0.000006541   0.999993459

